Day,Pm,BW29,Oo,Gm,BW37,BW58,Site
3/30/2015,0,0,0,0,1,0,KGI
3/31/2015,0,1,0,0,0,0,KGI
4/1/2015,0,0,0,0,0,0,KGI
4/2/2015,0,0,0,0,0,0,KGI
4/3/2015,0,0,0,0,0,0,KGI
4/4/2015,0,0,0,0,0,0,KGI
4/5/2015,0,0,0,0,0,0,KGI
4/6/2015,0,0,0,0,0,0,KGI
4/7/2015,0,1,0,0,0,0,KGI
4/8/2015,0,1,0,0,1,0,KGI
4/9/2015,0,1,0,1,0,0,KGI
4/10/2015,0,0,0,0,0,0,KGI
4/11/2015,0,0,0,1,0,0,KGI
4/12/2015,0,0,0,0,1,0,KGI
4/13/2015,0,1,0,0,0,0,KGI
4/14/2015,0,0,0,1,0,0,KGI
4/15/2015,0,1,0,0,0,0,KGI
4/16/2015,0,0,0,0,0,0,KGI
4/17/2015,0,0,0,0,0,0,KGI
4/18/2015,0,1,0,0,1,0,KGI
4/19/2015,0,0,0,0,0,0,KGI
4/20/2015,0,1,0,0,0,0,KGI
4/21/2015,0,0,0,0,0,0,KGI
4/22/2015,0,0,0,0,0,0,KGI
4/23/2015,0,0,0,0,0,0,KGI
4/24/2015,0,0,0,0,0,0,KGI
4/25/2015,0,0,0,0,0,0,KGI
4/26/2015,0,1,0,0,0,0,KGI
4/27/2015,0,0,0,0,0,0,KGI
4/28/2015,0,1,0,0,0,0,KGI
4/29/2015,0,0,0,0,0,0,KGI
4/30/2015,0,0,0,0,1,0,KGI
5/1/2015,0,0,0,0,0,0,KGI
5/2/2015,0,0,0,0,0,0,KGI
5/3/2015,0,0,0,0,0,0,KGI
5/4/2015,0,0,0,0,0,0,KGI
5/5/2015,0,0,0,1,0,0,KGI
5/6/2015,0,0,0,0,0,0,KGI
5/7/2015,0,0,0,1,0,0,KGI
5/8/2015,0,0,0,0,0,0,KGI
5/9/2015,0,0,0,1,1,0,KGI
5/10/2015,0,0,0,0,1,0,KGI
5/11/2015,0,1,0,1,1,0,KGI
5/12/2015,0,0,0,0,1,0,KGI
5/13/2015,0,0,0,0,0,0,KGI
5/14/2015,0,0,0,1,0,0,KGI
5/15/2015,0,0,0,1,0,0,KGI
5/16/2015,0,0,0,0,0,0,KGI
5/17/2015,0,1,0,1,0,0,KGI
5/18/2015,0,0,0,1,0,0,KGI
5/19/2015,0,0,0,0,0,0,KGI
