Input file,Event Number,Species Code,Call,Start time,End time,Comments
Antarc_EIE_01,jst_bw305,BW29,Clicks,10/12/2016 13:14:59,10/12/2016 13:16:14,
Antarc_EIE_01,jst_bw306,BW29,Clicks,10/12/2016 13:18:44,10/12/2016 13:37:29,
Antarc_EIE_01,jst_bw307,BW29,Clicks,10/12/2016 13:39:59,10/12/2016 13:41:14,
Antarc_EIE_01,jst_bw308,BW29,Clicks,10/12/2016 13:42:29,10/12/2016 13:43:44,
Antarc_EIE_01,jst_bw309,BW29,Clicks,10/12/2016 16:08:44,10/12/2016 16:13:44,
Antarc_EIE_01,jst_bw310,BW29,Clicks,10/12/2016 16:18:44,10/12/2016 16:22:29,
Antarc_EIE_01,jst_bw311,BW29,Clicks,10/12/2016 18:09:59,10/12/2016 18:11:14,
Antarc_EIE_01,jst_bw312,BW29,Clicks,10/12/2016 18:19:59,10/12/2016 18:21:14,
Antarc_EIE_01,jst_bw313,BW29,Clicks,10/12/2016 18:22:29,10/12/2016 18:23:44,
Antarc_EIE_01,jst_bw314,BW29,Clicks,10/12/2016 18:29:59,10/12/2016 18:34:59,
Antarc_EIE_01,jst_bw315,BW29,Clicks,10/12/2016 18:38:44,10/12/2016 18:39:59,
Antarc_EIE_01,jst_bw316,BW29,Clicks,10/12/2016 18:49:59,10/12/2016 18:51:14,
Antarc_EIE_01,jst_bw317,BW29,Clicks,10/12/2016 18:52:29,10/12/2016 18:58:44,
Antarc_EIE_01,jst_bw318,BW29,Clicks,10/12/2016 19:04:59,10/12/2016 19:06:14,
Antarc_EIE_01,jst_bw319,BW29,Clicks,10/13/2016 5:37:29,10/13/2016 5:42:29,
Antarc_EIE_01,jst_bw320,BW29,Clicks,10/13/2016 6:06:14,10/13/2016 6:08:44,
Antarc_EIE_01,jst_bw321,BW29,Clicks,10/13/2016 6:11:14,10/13/2016 6:16:14,
Antarc_EIE_01,jst_bw322,BW29,Clicks,10/13/2016 6:18:44,10/13/2016 6:19:59,
Antarc_EIE_01,jst_bw323,BW29,Clicks,10/13/2016 6:21:14,10/13/2016 6:22:29,
Antarc_EIE_01,jst_bw324,BW29,Clicks,10/13/2016 6:31:14,10/13/2016 6:33:44,
Antarc_EIE_01,jst_bw325,BW29,Clicks,10/13/2016 6:34:59,10/13/2016 6:36:14,
Antarc_EIE_01,jst_bw326,BW29,Clicks,10/13/2016 7:48:44,10/13/2016 7:49:59,
Antarc_EIE_01,jst_bw327,BW29,Clicks,10/13/2016 10:01:14,10/13/2016 10:02:29,
Antarc_EIE_01,jst_bw328,BW29,Clicks,10/13/2016 11:43:44,10/13/2016 11:47:29,
Antarc_EIE_01,jst_bw329,BW29,Clicks,10/13/2016 11:57:29,10/13/2016 11:58:44,
Antarc_EIE_01,jst_bw330,BW29,Clicks,10/13/2016 11:59:59,10/13/2016 12:01:14,
