"Day","Pm","BW29","Oo","Gm","BW37","BW58","Site"
2015-02-12,0,0,0,10,15,0,"KGI"
2015-02-13,0,0,0,0,0,0,"KGI"
2015-02-14,0,0,0,0,0,0,"KGI"
2015-02-15,0,0,0,0,10,0,"KGI"
2015-02-16,0,0,0,0,0,0,"KGI"
2015-02-17,0,0,0,0,0,0,"KGI"
2015-02-18,0,0,0,0,0,0,"KGI"
2015-02-19,0,0,0,0,0,0,"KGI"
2015-02-20,0,5,0,0,0,0,"KGI"
2015-02-21,0,15,0,0,0,0,"KGI"
2015-02-22,0,5,0,0,0,0,"KGI"
2015-02-23,0,0,0,0,0,0,"KGI"
2015-02-24,0,0,0,0,0,0,"KGI"
2015-02-25,0,20,0,0,0,0,"KGI"
2015-02-26,0,0,0,0,5,0,"KGI"
2015-02-27,0,10,0,0,0,0,"KGI"
2015-02-28,0,10,0,0,0,0,"KGI"
2015-03-01,0,0,0,0,10,0,"KGI"
2015-03-02,0,0,0,0,0,0,"KGI"
2015-03-03,0,0,0,0,0,0,"KGI"
2015-03-04,0,10,0,0,0,0,"KGI"
2015-03-05,0,0,0,0,0,0,"KGI"
2015-03-06,0,0,0,0,0,0,"KGI"
2015-03-07,0,15,0,0,0,0,"KGI"
2015-03-08,0,0,0,0,0,0,"KGI"
2015-03-09,0,0,0,0,0,0,"KGI"
2015-03-10,0,0,0,0,15,0,"KGI"
2015-03-11,0,0,0,0,0,0,"KGI"
2015-03-12,0,0,0,0,0,0,"KGI"
2015-03-13,0,0,0,0,0,0,"KGI"
2015-03-14,0,0,0,0,0,0,"KGI"
2015-03-15,0,0,0,0,0,0,"KGI"
2015-03-16,0,0,0,5,0,0,"KGI"
2015-03-17,0,0,0,0,0,0,"KGI"
2015-03-18,0,0,0,0,0,0,"KGI"
2015-03-19,0,0,0,0,0,0,"KGI"
2015-03-20,0,10,0,0,0,0,"KGI"
2015-03-21,0,0,0,0,0,0,"KGI"
2015-03-22,0,0,0,0,0,0,"KGI"
2015-03-23,0,5,0,0,0,0,"KGI"
2015-03-24,0,0,0,0,0,0,"KGI"
2015-03-25,0,0,0,0,0,0,"KGI"
2015-03-26,0,0,0,0,0,0,"KGI"
2015-03-27,0,0,0,0,0,0,"KGI"
2015-03-28,0,0,0,0,0,0,"KGI"
2015-03-29,0,0,0,0,0,0,"KGI"
2015-03-30,0,0,0,0,5,0,"KGI"
2015-03-31,0,5,0,0,0,0,"KGI"
2015-04-01,0,0,0,0,0,0,"KGI"
2015-04-02,0,0,0,0,0,0,"KGI"
2015-04-03,0,0,0,0,0,0,"KGI"
2015-04-04,0,0,0,0,0,0,"KGI"
2015-04-05,0,0,0,0,0,0,"KGI"
2015-04-06,0,0,0,0,0,0,"KGI"
2015-04-07,0,30,0,0,0,0,"KGI"
2015-04-08,0,5,0,0,10,0,"KGI"
2015-04-09,0,5,0,5,0,0,"KGI"
